,Player,Team,TW,TL,Age,Salary,PTS,GP,FG%,3P%,FT%,REB,AST,STL,BLK,DD2,TD3
270,Chance Comanche,POR,33,49,27.0,,7.0,1.0,60.0,0.0,25.0,3.0,0.0,0.0,1.0,0.0,0.0
271,Daniel Theis,IND,35,47,31.0,8694369.0,7.0,7.0,47.7,18.2,41.7,3.1,1.3,0.3,0.9,0.0,0.0
272,Joshua Primo,SAS,22,60,20.0,,7.0,4.0,34.6,25.0,77.8,3.3,4.5,0.3,0.5,0.0,0.0
273,Eugene Omoruyi,DET,17,65,26.0,1013119.0,7.0,40.0,44.3,28.1,68.0,2.8,0.7,0.7,0.1,0.0,0.0
274,Svi Mykhailiuk,CHA,27,55,26.0,,6.9,32.0,44.5,42.4,66.7,1.7,1.7,0.5,0.1,0.0,0.0
275,Ben Simmons,BKN,45,37,26.0,35448672.0,6.9,42.0,56.6,0.0,43.9,6.3,6.1,1.3,0.6,4.0,1.0
276,Romeo Langford,SAS,22,60,23.0,5634257.0,6.9,43.0,46.7,26.2,69.6,2.7,1.2,0.6,0.3,0.0,0.0
277,Willy Hernangomez,NOP,42,40,29.0,2443581.0,6.9,38.0,52.7,27.3,77.9,4.7,0.9,0.4,0.3,2.0,0.0
278,Joe Ingles,MIL,58,24,35.0,6479000.0,6.9,46.0,43.5,40.9,85.7,2.8,3.3,0.7,0.1,1.0,0.0
279,Jae Crowder,MIL,58,24,32.0,10183800.0,6.9,18.0,47.9,43.6,83.3,3.8,1.5,0.7,0.3,0.0,0.0
280,Cory Joseph,DET,17,65,31.0,5155500.0,6.9,62.0,42.7,38.9,79.2,1.7,3.5,0.5,0.1,0.0,0.0
281,Ty Jerome,GSW,44,38,25.0,4728948.0,6.9,45.0,48.8,38.9,92.7,1.7,3.0,0.5,0.1,0.0,0.0
282,Aaron Wiggins,OKC,40,42,24.0,1563518.0,6.8,70.0,51.2,39.3,83.1,3.0,1.1,0.6,0.2,1.0,0.0
283,Jeremiah Robinson-Earl,OKC,40,42,22.0,2000000.0,6.8,43.0,44.4,33.3,83.3,4.2,1.0,0.6,0.3,1.0,0.0
284,Larry Nance Jr.,NOP,42,40,30.0,,6.8,65.0,61.0,33.3,69.6,5.4,1.8,0.9,0.6,3.0,0.0
285,Will Barton,TOR,41,41,32.0,15059712.0,6.8,56.0,37.9,36.7,78.7,2.4,2.0,0.5,0.2,0.0,0.0
286,Justise Winslow,POR,33,49,27.0,4097561.0,6.8,29.0,40.9,31.1,71.4,5.0,3.4,1.0,0.4,1.0,0.0
287,Terence Davis,SAC,48,34,26.0,4000000.0,6.7,64.0,42.3,36.6,79.1,2.2,1.0,0.7,0.2,0.0,0.0
288,Theo Maledon,CHA,27,55,22.0,2408891.0,6.7,44.0,40.2,29.5,85.1,2.8,3.5,0.8,0.3,1.0,0.0
289,Anthony Lamb,GSW,44,38,25.0,694878.0,6.7,62.0,47.1,36.7,76.7,3.5,1.5,0.5,0.3,0.0,0.0
290,Dwight Powell,DAL,38,44,31.0,11080125.0,6.7,76.0,73.2,0.0,66.7,4.1,0.9,0.6,0.3,1.0,0.0
291,David Roddy,MEM,51,31,22.0,2588640.0,6.7,70.0,42.9,30.7,63.1,2.8,0.8,0.4,0.3,0.0,0.0
292,Isaiah Livers,DET,17,65,24.0,1563518.0,6.7,52.0,41.7,36.5,82.1,2.8,0.8,0.5,0.5,1.0,0.0
